input_size,time_cuda_kernel,time_total
16,0.04790329933166504,0.3341560363769531
16,0.030142784118652344,0.31412601470947266
16,0.028047800064086914,0.31366872787475586
16,0.0315546989440918,0.324338436126709
16,0.029389142990112305,0.31872010231018066
32,0.031209707260131836,0.3235487937927246
32,0.03136944770812988,0.3123176097869873
32,0.03147315979003906,0.32045841217041016
32,0.03171992301940918,0.3236815929412842
32,0.03102421760559082,0.3198120594024658
64,0.03525209426879883,0.32277584075927734
64,0.03402876853942871,0.31279706954956055
64,0.03493142127990723,0.3237881660461426
64,0.033411502838134766,0.32123327255249023
64,0.032488346099853516,0.31612157821655273
256,0.052971839904785156,0.3448183536529541
256,0.05294942855834961,0.341031551361084
256,0.05301189422607422,0.34490108489990234
256,0.05296444892883301,0.3531804084777832
256,0.05306744575500488,0.33854222297668457
1024,0.12207221984863281,0.4182884693145752
1024,0.12343764305114746,0.4109468460083008
1024,0.11993169784545898,0.4082186222076416
1024,0.12146925926208496,0.4236299991607666
1024,0.12378907203674316,0.4176442623138428
2048,0.23854589462280273,0.541107177734375
2048,0.24024057388305664,0.5468878746032715
2048,0.23998761177062988,0.5786154270172119
2048,0.23698019981384277,0.5432796478271484
2048,0.2383127212524414,0.5613932609558105
4096,0.7230362892150879,1.0748491287231445
4096,0.7297344207763672,1.087939977645874
4096,0.7282395362854004,1.0963773727416992
4096,0.7346451282501221,1.0919511318206787
4096,0.723684549331665,1.0772309303283691
8192,4.489505290985107,5.067647218704224
8192,4.516950607299805,5.072138786315918
8192,4.491765975952148,5.060676336288452
8192,4.500755310058594,5.097413063049316
8192,4.475467681884766,5.0467612743377686
16384,37.24624681472778,38.749192237854004
16384,37.075788259506226,38.55538725852966
16384,37.05016207695007,38.49125003814697
16384,37.05869150161743,38.502397298812866
16384,37.06462907791138,38.486326932907104
